STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
87,2019-06,344.1,43,45,82,1.0465116279069768,1.8222222222222222,4.196341463414634
88,2018-07,1310.0,129,153,306,1.186046511627907,2.0,4.281045751633987
88,2018-08,1323.8,131,158,303,1.2061068702290076,1.9177215189873418,4.368976897689769
88,2018-09,1423.0,124,157,318,1.2661290322580645,2.0254777070063694,4.4748427672955975
88,2018-10,1352.4,123,155,316,1.2601626016260163,2.0387096774193547,4.279746835443039
88,2018-11,1382.8,130,156,314,1.2,2.0128205128205128,4.4038216560509555
88,2018-12,1325.2,126,148,298,1.1746031746031746,2.0135135135135136,4.446979865771812
88,2019-01,1266.4,117,144,292,1.2307692307692308,2.0277777777777777,4.336986301369864
88,2019-02,1370.2,124,153,308,1.2338709677419355,2.0130718954248366,4.448701298701299
88,2019-03,1477.2,134,169,340,1.2611940298507462,2.0118343195266273,4.344705882352941
88,2019-04,1439.4,128,162,324,1.265625,2.0,4.442592592592593
88,2019-05,1308.25,128,154,299,1.203125,1.9415584415584415,4.375418060200669
88,2019-06,1354.6,121,148,300,1.2231404958677685,2.027027027027027,4.515333333333333
89,2018-07,219.8,49,50,61,1.0204081632653061,1.22,3.60327868852459
89,2018-08,185.5,45,47,55,1.0444444444444445,1.1702127659574468,3.3727272727272726
89,2018-09,188.8,41,43,54,1.048780487804878,1.255813953488372,3.4962962962962965
89,2018-10,260.8,56,58,80,1.0357142857142858,1.3793103448275863,3.2600000000000002
89,2018-11,191.3,43,45,59,1.0465116279069768,1.3111111111111111,3.2423728813559323
89,2018-12,126.8,30,32,39,1.0666666666666667,1.21875,3.2512820512820513
89,2019-01,213.3,46,49,62,1.065217391304348,1.2653061224489797,3.4403225806451614
89,2019-02,151.1,33,35,43,1.0606060606060606,1.2285714285714286,3.513953488372093
89,2019-03,255.7,56,59,77,1.0535714285714286,1.305084745762712,3.3207792207792206
89,2019-04,169.70000000000002,38,41,47,1.0789473684210527,1.146341463414634,3.610638297872341
89,2019-05,242.7,49,52,69,1.0612244897959184,1.3269230769230769,3.517391304347826
89,2019-06,184.6,41,44,53,1.0731707317073171,1.2045454545454546,3.483018867924528
90,2018-07,235.4,41,41,66,1.0,1.6097560975609757,3.566666666666667
90,2018-08,224.5,38,39,64,1.0263157894736843,1.641025641025641,3.5078125
90,2018-09,162.4,28,28,49,1.0,1.75,3.3142857142857145
90,2018-10,319.40000000000003,54,56,88,1.037037037037037,1.5714285714285714,3.629545454545455
90,2018-11,226.2,35,38,66,1.0857142857142856,1.736842105263158,3.4272727272727272
90,2018-12,262.7,45,50,83,1.1111111111111112,1.66,3.165060240963855
90,2019-01,305.8,50,53,87,1.06,1.6415094339622642,3.514942528735632
90,2019-02,253.20000000000002,43,45,73,1.0465116279069768,1.6222222222222222,3.4684931506849317
90,2019-03,336.6,57,60,94,1.0526315789473684,1.5666666666666667,3.5808510638297877
90,2019-04,243.4,40,44,68,1.1,1.5454545454545454,3.5794117647058825
90,2019-05,307.7,49,52,93,1.0612244897959184,1.7884615384615385,3.3086021505376344
90,2019-06,285.8,43,48,75,1.1162790697674418,1.5625,3.8106666666666666
91,2018-07,827.7,85,98,189,1.1529411764705881,1.9285714285714286,4.37936507936508
91,2018-08,916.1,93,106,206,1.1397849462365592,1.9433962264150944,4.447087378640777
91,2018-09,1000.1,99,113,224,1.1414141414141414,1.9823008849557522,4.464732142857143
91,2018-10,851.8,87,100,193,1.1494252873563218,1.93,4.4134715025906734
91,2018-11,911.2,97,109,209,1.1237113402061856,1.9174311926605505,4.359808612440192
91,2018-12,866.8,89,97,189,1.0898876404494382,1.9484536082474226,4.586243386243386
91,2019-01,856.3,90,101,195,1.1222222222222222,1.9306930693069306,4.391282051282051
91,2019-02,914.7,84,99,197,1.1785714285714286,1.9898989898989898,4.643147208121827
91,2019-03,913.8,94,108,207,1.148936170212766,1.9166666666666667,4.414492753623188
91,2019-04,907.7,89,107,205,1.202247191011236,1.9158878504672898,4.42780487804878
91,2019-05,1083.2,110,129,243,1.1727272727272726,1.8837209302325582,4.45761316872428
91,2019-06,972.5,100,115,220,1.15,1.9130434782608696,4.420454545454546
93,2018-07,1080.4,114,147,298,1.2894736842105263,2.0272108843537415,3.6255033557046983
93,2018-08,998.1,112,149,287,1.3303571428571428,1.9261744966442953,3.4777003484320557
93,2018-09,1161.8,130,169,340,1.3,2.0118343195266273,3.4170588235294117
93,2018-10,1038.0,114,148,298,1.2982456140350878,2.0135135135135136,3.4832214765100673
93,2018-11,944.2,102,137,276,1.3431372549019607,2.0145985401459856,3.4210144927536232
93,2018-12,1207.0,126,167,336,1.3253968253968254,2.0119760479041915,3.5922619047619047
93,2019-01,999.0,107,138,282,1.2897196261682242,2.0434782608695654,3.5425531914893615
93,2019-02,995.0,104,137,276,1.3173076923076923,2.0145985401459856,3.6050724637681157
93,2019-03,1039.0,113,145,290,1.2831858407079646,2.0,3.5827586206896553
93,2019-04,1095.6,129,155,312,1.2015503875968991,2.0129032258064514,3.511538461538461
93,2019-05,1093.5,122,162,316,1.3278688524590163,1.9506172839506173,3.4604430379746836
93,2019-06,1162.2,121,164,328,1.3553719008264462,2.0,3.5432926829268294
94,2018-07,940.0,108,135,270,1.25,2.0,3.4814814814814814
94,2018-08,1162.25,118,159,315,1.347457627118644,1.9811320754716981,3.68968253968254
94,2018-09,966.8,107,139,280,1.2990654205607477,2.014388489208633,3.452857142857143
94,2018-10,1039.0,107,142,284,1.3271028037383177,2.0,3.658450704225352
94,2018-11,988.9,106,141,285,1.330188679245283,2.021276595744681,3.4698245614035086
94,2018-12,881.4,101,124,248,1.2277227722772277,2.0,3.554032258064516
94,2019-01,993.6,109,141,284,1.2935779816513762,2.0141843971631204,3.498591549295775
94,2019-02,873.4,99,123,250,1.2424242424242424,2.032520325203252,3.4936
94,2019-03,998.4,118,144,290,1.2203389830508475,2.013888888888889,3.442758620689655
94,2019-04,902.6,97,131,262,1.3505154639175259,2.0,3.4450381679389315
94,2019-05,931.9,105,141,283,1.3428571428571427,2.00709219858156,3.2929328621908125
94,2019-06,796.4,96,110,226,1.1458333333333333,2.0545454545454547,3.5238938053097346
95,2018-07,1053.4,100,119,239,1.19,2.008403361344538,4.407531380753139
95,2018-08,1277.45,129,150,290,1.1627906976744187,1.9333333333333333,4.405
